"trade_date","open","high","low","close","vol"
"20171229","718","726.5","691.6","697.49","76038.87"
"20171228","687","719.9","671.32","718.69","124141.07"
"20171227","684.86","684.86","662.5","664.18","37722.05"
"20171226","688.18","692.99","676.5","680.81","31867.66"
"20171225","686","696.3","683.72","688.12","36214.28"
"20171222","680","685.9","677.01","682.92","28317.01"
"20171221","683","687.42","675.5","681.74","46680.38"
"20171220","669.9","686.86","664.03","684.91","63601.31"
"20171219","663","672.44","661","667.09","44072.21"
"20171218","660","669.8","658.58","665.77","39162.28"
"20171215","664","667.95","650.78","653.79","32255.95"
"20171214","669.98","671.3","660.5","664.55","31967.94"
"20171213","654.99","670","650.72","668.21","48502.48"
"20171212","658.7","658.77","651.02","651.32","47889.31"
"20171211","631","651.95","631","650.99","72849.17"
"20171208","615.42","628.85","615.42","627.28","45503.39"
"20171207","624.95","624.99","615.26","616.69","51032.62"
"20171206","631.5","644.1","620","625.01","58174.09"
"20171205","634","647.4","630.13","632.96","47465.76"
"20171204","623.95","644.1","616.72","637.79","54267.71"
"20171201","638.01","638.99","620.13","622.35","47192.74"
"20171130","635.51","648.48","626","631","38019.62"
"20171129","649.94","651.97","634.01","638.12","46763.72"
"20171128","625.06","648.88","624","648.23","70291.83"
"20171127","634","636.33","613.01","621.29","63548.46"
"20171124","635.9","642.5","622.23","630.04","76541.94"
"20171123","642","646","630.22","633.73","109599.13"
"20171122","677","688","650","650.52","128498.26"
"20171121","669","688.8","662.02","677.25","96016.51"
"20171120","676.8","685.6","660","679.15","88305.82"
"20171117","696","709","677.77","690.25","123861.24"
"20171116","686.01","719.96","686.01","719.11","60716.32"
"20171115","678.75","689.99","674","688.08","45036.33"
"20171114","687.14","687.22","677.35","678.75","46366.71"
"20171113","680","692.78","675.8","687.88","49869.84"
"20171110","650.43","683.4","650.43","677.95","74078.6"
"20171109","648","654.15","644.61","650.07","33641.13"
"20171108","642.33","654.5","642.33","650.38","43951.94"
"20171107","650.58","657.15","638.18","642.07","55564.85"
"20171106","641.5","657.62","640.2","653.06","48513.98"
"20171103","628.65","643.44","628.65","639.17","48188.97"
"20171102","626.95","629.78","621","626.92","34249.73"
"20171101","620.88","631.54","619.22","623.01","43435.25"
"20171031","622.01","627.6","611.88","618.03","51875.68"
"20171030","643.05","644","621","622.08","81007.86"
"20171027","602.11","655","600.03","649.63","84383.79"
"20171026","605","613","591.91","605.09","115434.97"
"20171025","569.75","571.68","562.06","565.67","25076"
"20171024","572","573.8","563.61","567.33","31274.28"
"20171023","574.92","580.5","568","573.41","23771.82"
"20171020","581","581","571.76","574.33","31534.33"
"20171019","561","585.15","560.72","582.6","40658.82"
"20171018","554.2","562.59","554.2","560.72","19178.65"
"20171017","560.97","560.97","554","556.73","20977.12"
"20171016","559.99","566.66","555.87","560.69","29909.01"
"20171013","545","556.6","542.01","556.15","27858.42"
"20171012","545","547.5","540.18","544.09","19646.22"
"20171011","538.1","551.25","538.1","545.54","33406.43"
"20171010","527.05","540.49","527.01","540.06","31006.44"
"20171009","524.54","535.55","520.1","527.77","34891.29"
"20170929","516","525.88","515.5","517.64","22436.22"
"20170928","507.2","520.2","507.15","518.46","25969.85"
"20170927","508.92","511.03","506.07","508.21","16671.11"
"20170926","506.69","510","503.6","509.29","25470.49"
"20170925","500.31","508.2","500.3","507.24","32697.56"
"20170922","496.9","500.18","495.8","499.93","16343.53"
"20170921","495.94","500.58","492.88","498.77","19402.68"
"20170920","496.9","500.02","496","496.2","17318.16"
"20170919","500.3","502.5","496.01","496.95","23054.81"
"20170918","490.14","500.5","490.14","498.97","42206.81"
"20170915","492.5","492.5","488","489.84","16039.46"
"20170914","492.99","494.03","488.99","490.71","19399.49"
"20170913","485","492.2","481.38","491.63","33075.7"
"20170912","479.5","486","478.4","484.91","34341.63"
"20170911","471.09","482.22","469.98","478.32","45374.4"
"20170908","478.25","480.5","474","474.37","41173.27"
"20170907","485.31","486.9","480.06","481.27","33320.16"
"20170906","490","492.77","484.84","484.98","33006.5"
"20170905","492.88","493.99","489.5","489.99","22622.15"
"20170904","495.18","496.66","491.27","492.42","18931.62"
"20170901","490.2","496.28","490.03","495.18","31451"
"20170831","494.04","494.88","489.8","491.15","18736.86"
"20170830","489.7","493.75","489.16","492.97","18503.64"
"20170829","493.02","494.88","488.01","489.44","25176.62"
"20170828","493","497.29","491.03","492.04","29021.07"
"20170825","493.45","494.25","489.32","492.99","17297.88"
"20170824","493.99","496.4","492.02","492.81","18156.78"
"20170823","485.45","494.63","484.32","494.01","27214.99"
"20170822","487.4","489.48","476","487.22","42457.03"
"20170821","488","494.4","486.94","489.73","23546.62"
"20170818","492.8","494.44","488","489.65","23857.75"
"20170817","497.6","497.6","489.8","492.69","25846.73"
"20170816","498","498.8","493","496.49","18587.22"
"20170815","500.11","501.1","495.01","495.97","27163.22"
"20170814","485.21","500.1","485.21","499.83","39331.47"
"20170811","489","496.55","483.48","484.06","36572.57"
"20170810","491.09","499.6","489","491.63","35364.38"
"20170809","484.84","492.98","482.03","490.85","41794.47"
"20170808","482","484.22","479.5","482.58","16051.58"
"20170807","472.5","482.4","471.13","481.56","23099.37"
"20170804","477","478.98","472.6","473.64","18681.14"
"20170803","483.68","486.85","475.63","477.22","31768.39"
"20170802","480.04","484.88","478.51","482.84","26774.22"
"20170801","481","483","477.4","480.24","27501.54"
"20170731","484","487.96","481","481.22","38412.18"
"20170728","471","484.07","467.71","483.92","46618.77"
"20170727","471.63","475.85","471.1","473.87","19595.03"
"20170726","478.05","481.63","466.56","471.63","31470.18"
"20170725","482.2","482.8","476.1","477.96","21929.99"
"20170724","474.88","485.35","474.88","477.8","42716.43"
"20170721","466.96","475.01","463.66","473.2","46792.41"
"20170720","455.86","466.89","455.86","466.47","46634.87"
"20170719","454","463.62","452.8","456.86","56259.94"
"20170718","451.99","453.99","448","452.55","30684.49"
"20170717","457.04","458.04","446.28","450.07","35263.68"
"20170714","456.25","458.76","453.05","456.41","17726.57"
"20170713","455.35","461.91","453.68","456.16","25951.35"
"20170712","465.8","465.99","455","457.47","28950.72"
"20170711","454.5","464.58","454","463.13","44601.82"
"20170710","446.88","454.9","442.97","454.47","36624.09"
"20170707","451.05","451.1","441.2","445.97","37796.47"
"20170706","458.11","460.2","450.6","455.98","42044.39"
"20170705","453.01","460.33","453.01","460.13","37540.32"
"20170704","458.96","460","449","451.92","56488.95"
"20170703","474.2","474.2","457.9","460.37","49628.53"
"20170630","471.51","474.16","467.8","471.85","22427.17"
"20170629","476.3","477.35","470","473.01","35092.72"
"20170628","484.09","484.09","473","475.3","37728.74"
"20170627","482.82","485","480.85","484.1","27980.78"
"20170626","473.01","485","472","484.68","52932.57"
"20170623","472.86","474.88","468.33","472.73","31303.62"
"20170622","473.02","477.93","471.2","472.75","38242.34"
"20170621","469.55","473","466.03","472.71","42038.54"
"20170620","473","474.88","465.66","466.3","34505.39"
"20170619","461.96","470.39","461.96","470.17","38536.68"
"20170616","461.5","467.49","461.26","462.63","33331.8"
"20170615","475","475.48","464","464.3","50202.8"
"20170614","472.79","477.5","470.48","474.39","33768.63"
"20170613","473.05","474.5","467","473.04","24237.98"
"20170612","467","475.44","465","472.88","35109.16"
"20170609","464.24","470.8","463","465.74","31430.76"
"20170608","461.32","464.4","458.5","464.31","28951.11"
"20170607","449.12","460","449.12","459.37","38834.3"
"20170606","444.97","449","444.2","448.82","20402.44"
"20170605","448.04","449","442.35","444.41","19241.2"
"20170602","450","450.95","445.6","447.31","21785.26"
"20170601","442.5","449.95","441.01","449.28","40604.78"
"20170531","450","450.5","440.11","442.94","44312.25"
"20170526","450.82","455.6","448","451.92","27386.64"
"20170525","448.71","452.96","447.5","450.6","28898.42"
"20170524","452.9","456.48","446","450.32","40226.18"
"20170523","442.25","454.47","442.25","454.2","48454.39"
"20170522","439.04","446.01","436.2","441.78","35321.49"
"20170519","429.57","441.8","429.57","440.82","38310.83"
"20170518","425.05","430.7","425.01","429.54","24300.8"
"20170517","429","430.19","424.88","426.6","27515.21"
"20170516","419.6","431.22","418.26","430.12","50164.9"
"20170515","413.12","420.35","413.12","419.55","33447.35"
"20170512","413.59","415.3","410.01","413.47","22337.42"
"20170511","408.4","414.7","406.51","412.16","30467.64"
"20170510","408.4","414.44","407.02","410.09","26039.38"
"20170509","404.44","409.88","398","408.76","52801.92"
"20170508","416.18","417","404.72","405.48","40721.65"
"20170505","416.2","422.78","415.1","416.19","37437.11"
"20170504","414.63","418.48","414.63","416","26709.15"
"20170503","411","417.66","411","417.61","20267.91"
"20170502","411.6","415","409.18","412.08","23291.68"
"20170428","421.99","423","409.9","413.48","49505.87"
"20170427","415.53","421.97","410.43","421.44","28240.71"
"20170426","418.85","428.68","413.01","417.96","56624.12"
"20170425","404.8","420.17","404.8","418.89","76192.71"
"20170424","400.62","405","389","398.55","50037.97"
"20170421","415","415.6","400","400.53","49332.92"
"20170420","406.09","420.43","406.09","415.31","50457.68"
"20170419","403","409.1","402.86","405.74","37550.11"
"20170418","394.6","406.55","394.6","404.65","49581"
"20170417","391","398.28","388.55","395.79","28793.71"
"20170414","399.43","399.88","395","395.45","23646.56"
"20170413","390.78","398.59","390.51","398.39","45648.35"
"20170412","385.29","391","384.8","390.23","27002.91"
"20170411","388.05","390.7","380.6","385.29","43530.72"
"20170410","394","394","388","389.2","28869.48"
"20170407","392.99","394","389.6","392.87","24097.23"
"20170406","389.01","393","386.63","391.91","28857.2"
"20170405","385.66","394.99","385","389.66","40789.98"
"20170331","386.2","388","384.18","386.36","24474.22"
"20170330","383","386.89","382.6","386.14","31612.99"
"20170329","381.01","385.8","379.9","383.65","37299.67"
"20170328","379.95","381.15","376.66","380.26","41187.17"
"20170327","386.03","389.26","378.39","378.82","53690.28"
"20170324","392.32","393.22","385","386.82","33287.72"
"20170323","392.03","393.99","386.6","389.79","34504.81"
"20170322","390.53","394.6","385","394.48","45532.71"
"20170321","386.55","396.5","386.5","394.01","48460.96"
"20170320","380.5","386.71","378.88","386.41","31545.94"
"20170317","373.1","384.45","373.1","378.48","34700.26"
"20170316","376.56","378.3","372.8","374.77","25022.6"
"20170315","369.5","375.15","369.01","374.68","25155.26"
"20170314","371.55","373.85","368.34","369.5","20416.49"
"20170313","370.05","374.33","367.53","371.55","27674.32"
"20170310","369.92","377","368.36","369.85","40951.05"
"20170309","367","369.98","365.56","369.9","23406.06"
"20170308","367.18","368.49","365.5","367.28","16037.7"
"20170307","358.03","368.88","358.03","367.2","46286.98"
"20170306","357.66","359.54","356.55","358.96","22818.84"
"20170303","355","358.22","355","356.54","14153.55"
"20170302","356.71","357","354.53","356.82","22103.62"
"20170301","355.1","358.2","355","356.61","21944.2"
"20170228","357","359.2","353.58","354.66","27473.51"
"20170227","362.49","362.85","356.8","357.2","25400.46"
"20170224","362","362.89","360.05","362.62","17692.78"
"20170223","360.97","365.48","359.76","361.7","23328.06"
"20170222","360.61","366.52","360","361.89","37130.31"
"20170221","361.88","362.43","357.18","358.74","27705.77"
"20170220","350.41","362.32","350.01","361.29","61853.4"
"20170217","348.9","354.44","347.5","350.56","29102.34"
"20170216","348.5","348.62","345.51","348.09","17642.3"
"20170215","351.5","352.44","347.2","348.53","26256.96"
"20170214","349.54","352.6","349.1","350.21","26558.68"
"20170213","344","351.9","341.92","349.75","53587.9"
"20170210","348.62","349.82","345","345.08","24056.59"
"20170209","345","348.79","344.61","347.61","23324.38"
"20170208","343.76","345.5","342.67","344.21","19088.54"
"20170207","346.84","347.4","343.14","343.58","20519.83"
"20170206","348.49","348.89","344.96","346.85","15680.79"
"20170203","346","349.18","345","346.85","20936.43"
"20170126","348.14","348.8","341.3","344.42","37826.17"
"20170125","349.98","349.98","346.2","347.63","22990.36"
"20170124","351.27","352.8","346.75","350.31","26914.58"
"20170123","356.88","359.8","349.46","351.22","32581.18"
"20170120","354.9","357.4","353.03","354.99","21344.17"
"20170119","355","358.48","351.7","354.72","28523.92"
"20170118","348.88","356.77","347.21","355.08","46005.7"
"20170117","342.6","351.5","342","349.13","35188.38"
"20170116","344.13","344.8","338.8","341.47","36855.45"
"20170113","346.98","347.39","343.88","344.87","18282.48"
"20170112","346.55","347.4","344.51","347.05","17779.4"
"20170111","348","348","343.5","345.45","23598.51"
"20170110","348.45","352","346.6","349","31727.64"
"20170109","347.8","352.88","346.54","348.51","35405"
"20170106","346.64","359.78","346.1","350.76","68095.62"
"20170105","350","351.45","345.44","346.74","41704.48"
"20170104","334.62","352.17","334.6","351.91","65257.38"
"20170103","334.28","337","332.81","334.56","20763.89"
"20161230","326.61","335.29","326.61","334.15","34687.67"
"20161229","324","327.87","323","327.31","21225.12"
"20161228","326.99","328","323.33","323.72","17878.11"
"20161227","324.51","328.8","323.5","326.16","20062.29"
"20161226","319.03","324.99","316.2","324.48","26001.43"
"20161223","323.55","324.5","319.13","320.03","31095.55"
"20161222","328","328.46","324.88","325.2","14678.13"
"20161221","326.9","329.29","323.56","328.66","24711.24"
"20161220","326.04","327","321.81","326.48","30831.59"
"20161219","326","334.37","325.61","325.96","30471.87"
"20161216","327","329.88","323.58","327.58","25051.26"
"20161215","332.46","332.99","325.58","328.05","39202.75"
"20161214","333","334.07","328.5","332.27","32029.02"
"20161213","326.84","335","325.5","333.01","41780"
"20161212","337.7","340","325.7","326.86","50332.44"
"20161209","337.2","339.42","334.02","337.76","34495.59"
"20161208","328.01","340","327","337.71","54475.78"
